3.880488276481628418e-01 2.053061723709106445e+00 7.695312500000000000e-01 1.613763570785522461e+00 1.042632174491882324e+01
6.900592446327209473e-01 1.280011296272277832e+00 8.496093750000000000e-01 7.933920621871948242e-01 7.125899791717529297e-01
7.848026156425476074e-01 7.867338657379150391e-01 8.878038525581359863e-01 4.964005649089813232e-01 7.225191593170166016e-01
8.291183114051818848e-01 5.928794145584106445e-01 9.064670205116271973e-01 3.883050382137298584e-01 7.410886287689208984e-01
8.537850379943847656e-01 5.049678683280944824e-01 9.133028984069824219e-01 3.327162265777587891e-01 6.772365570068359375e-01
8.719523549079895020e-01 4.421211183071136475e-01 9.217665195465087891e-01 2.961459159851074219e-01 6.857550144195556641e-01
8.815329670906066895e-01 4.022561311721801758e-01 9.267577528953552246e-01 2.669517993927001953e-01 7.160418033599853516e-01
8.908438682556152344e-01 3.705996870994567871e-01 9.305555820465087891e-01 2.465181499719619751e-01 6.790404319763183594e-01
8.996161222457885742e-01 3.453081846237182617e-01 9.353299140930175781e-01 2.270786017179489136e-01 6.331403255462646484e-01
9.042294621467590332e-01 3.263084888458251953e-01 9.395616054534912109e-01 2.114248126745223999e-01 6.234052181243896484e-01
9.109140038490295410e-01 3.059545159339904785e-01 9.432508349418640137e-01 1.995724588632583618e-01 6.257715225219726562e-01
9.138436317443847656e-01 2.939083576202392578e-01 9.457465410232543945e-01 1.873094290494918823e-01 6.286077499389648438e-01
9.195514917373657227e-01 2.744488716125488281e-01 9.486762285232543945e-01 1.755254864692687988e-01 6.829411983489990234e-01
9.220095276832580566e-01 2.641269266605377197e-01 9.516058564186096191e-01 1.662061363458633423e-01 6.849386692047119141e-01
9.288457036018371582e-01 2.455133199691772461e-01 9.536675214767456055e-01 1.577003896236419678e-01 7.107446193695068359e-01
9.303274154663085938e-01 2.408063411712646484e-01 9.551865458488464355e-01 1.491211056709289551e-01 6.725249290466308594e-01
